ImageNumber,CellNumber,CellID,cell_category,cell_type,cell_subtype,RoiID,image_name,cell_id,tissue_id,cell_category_regen,cell_type_regen
82,23,175_C_57_23,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",23,cords24_ocmzljpb_1,Fibroblast,mCAF
82,46,175_C_57_46,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",46,cords24_ocmzljpb_1,Other,Other
82,69,175_C_57_69,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",69,cords24_ocmzljpb_1,Fibroblast,Collagen_CAF
82,71,175_C_57_71,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",71,cords24_ocmzljpb_1,Fibroblast,mCAF
82,73,175_C_57_73,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",73,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,94,175_C_57_94,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",94,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,99,175_C_57_99,Fibroblast,hypoxic_CAF,hypoxic_CAF,"175_C4,9","175_C4,9",99,cords24_ocmzljpb_1,Fibroblast,mCAF
82,222,175_C_57_222,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",222,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,236,175_C_57_236,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",236,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,238,175_C_57_238,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",238,cords24_ocmzljpb_1,Fibroblast,mCAF
82,243,175_C_57_243,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",243,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,273,175_C_57_273,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",273,cords24_ocmzljpb_1,Immune,mCAF
82,278,175_C_57_278,Fibroblast,hypoxic_CAF,hypoxic_CAF,"175_C4,9","175_C4,9",278,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,284,175_C_57_284,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",284,cords24_ocmzljpb_1,Fibroblast,Collagen_CAF
82,298,175_C_57_298,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",298,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,300,175_C_57_300,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",300,cords24_ocmzljpb_1,T cell,SMA_CAF
82,309,175_C_57_309,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",309,cords24_ocmzljpb_1,Fibroblast,mCAF
82,316,175_C_57_316,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",316,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,320,175_C_57_320,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",320,cords24_ocmzljpb_1,Other,Other
82,324,175_C_57_324,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",324,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,330,175_C_57_330,Fibroblast,hypoxic_CAF,hypoxic_CAF,"175_C4,9","175_C4,9",330,cords24_ocmzljpb_1,Fibroblast,mCAF
82,333,175_C_57_333,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",333,cords24_ocmzljpb_1,Fibroblast,mCAF
82,338,175_C_57_338,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",338,cords24_ocmzljpb_1,Fibroblast,mCAF
82,345,175_C_57_345,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",345,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,347,175_C_57_347,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",347,cords24_ocmzljpb_1,Fibroblast,mCAF
82,353,175_C_57_353,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",353,cords24_ocmzljpb_1,Fibroblast,mCAF
82,354,175_C_57_354,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",354,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,360,175_C_57_360,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",360,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,366,175_C_57_366,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",366,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,370,175_C_57_370,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",370,cords24_ocmzljpb_1,Other,Other
82,376,175_C_57_376,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",376,cords24_ocmzljpb_1,Fibroblast,mCAF
82,380,175_C_57_380,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",380,cords24_ocmzljpb_1,Other,Other
82,381,175_C_57_381,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",381,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,382,175_C_57_382,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",382,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,394,175_C_57_394,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",394,cords24_ocmzljpb_1,Fibroblast,Other
82,409,175_C_57_409,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",409,cords24_ocmzljpb_1,Fibroblast,mCAF
82,418,175_C_57_418,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",418,cords24_ocmzljpb_1,Immune,Myeloid
82,427,175_C_57_427,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",427,cords24_ocmzljpb_1,Fibroblast,mCAF
82,432,175_C_57_432,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",432,cords24_ocmzljpb_1,Fibroblast,mCAF
82,433,175_C_57_433,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",433,cords24_ocmzljpb_1,Other,Other
82,439,175_C_57_439,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",439,cords24_ocmzljpb_1,Immune,mCAF
82,449,175_C_57_449,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",449,cords24_ocmzljpb_1,Other,Other
82,457,175_C_57_457,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",457,cords24_ocmzljpb_1,Other,Other
82,463,175_C_57_463,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",463,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,465,175_C_57_465,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",465,cords24_ocmzljpb_1,Immune,Other
82,473,175_C_57_473,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",473,cords24_ocmzljpb_1,Fibroblast,mCAF
82,475,175_C_57_475,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",475,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,479,175_C_57_479,Fibroblast,vCAF,vCAF,"175_C4,9","175_C4,9",479,cords24_ocmzljpb_1,Fibroblast,vCAF
82,492,175_C_57_492,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",492,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,495,175_C_57_495,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",495,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,497,175_C_57_497,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",497,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,498,175_C_57_498,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",498,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,502,175_C_57_502,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",502,cords24_ocmzljpb_1,Fibroblast,mCAF
82,507,175_C_57_507,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",507,cords24_ocmzljpb_1,T cell,CD8
82,509,175_C_57_509,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",509,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,533,175_C_57_533,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",533,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,548,175_C_57_548,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",548,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,571,175_C_57_571,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",571,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,580,175_C_57_580,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",580,cords24_ocmzljpb_1,Fibroblast,mCAF
82,582,175_C_57_582,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",582,cords24_ocmzljpb_1,Fibroblast,Other
82,586,175_C_57_586,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",586,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
